what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495297342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495310430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495314196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495318164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353495350967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1353495358496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353495387693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495393601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495400195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495404108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495408629
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353495409767
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353495415800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353495456564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495487897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495487913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495487959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495514974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353495519947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495523610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495531716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353495532886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495536175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495539823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495541693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495545091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353495547149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495549145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495589020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495591031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495591031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495591093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495630221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495631390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495631390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495631452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495634508
activated,editor,org.eclipse.m2e.editor,1.1.0.20120130-1704,"org.eclipse.m2e.editor.MavenPomEditor",1353495634773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495635990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495635990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353495636068
